"sess","id","whole","time","where","day","sessname"
12,1,"12. massive online open statistics (moos): should we be teaching statistics to 100,000 at a time? asa statistical learning and data mining section of public health of public health moocs for statistics and the statistics of moocs joseph blitzstein*, harvard university","8:30","Grand Ballroom (3rd Floor)","Monday, March 17","12. massive online open statistics (moos): should we be teaching statistics to 100,000 at a time?"
12,2,"can we teach 100,000 people data analysis at a time? jeffrey t. leek*, johns hopkins bloomberg school of public health","8:55","Grand Ballroom (3rd Floor)","Monday, March 17","12. massive online open statistics (moos): should we be teaching statistics to 100,000 at a time?"
12,3,"statistical reasoning for the masses john mcgready*, johns hopkins bloomberg school of public health","9:20","Grand Ballroom (3rd Floor)","Monday, March 17","12. massive online open statistics (moos): should we be teaching statistics to 100,000 at a time?"
12,4,"massive online open statistics (moos): should we be teaching statistics to 100,000 at a time? rebecca nugent*, carnegie mellon university","9:45","Grand Ballroom (3rd Floor)","Monday, March 17","12. massive online open statistics (moos): should we be teaching statistics to 100,000 at a time?"
13,6,"13. council for emerging and new statisticians (cens) invited session: should i do a postdoc?","10:10","G rand Ballroom I (3rd Floor)","Monday, March 17","13. council for emerging and new statisticians (cens) invited session: should i do a postdoc?"
13,7,"my experiences as a postdoc in biostatistics joshua warren*, university of north carolina, chapel hill","8:30","G rand Ballroom I (3rd Floor)","Monday, March 17","13. council for emerging and new statisticians (cens) invited session: should i do a postdoc?"
13,8,"is post-doctoral fellowship key to academic success? hemant k. tiwari*, university of alabama, birmingham","9:00","G rand Ballroom I (3rd Floor)","Monday, March 17","13. council for emerging and new statisticians (cens) invited session: should i do a postdoc?"
13,9,"should i do a post-doctoral fellowship? the nichd experience paul s. albert*, eunice kennedy shriver national national institutes of health institute of child health and human development,","9:30","G rand Ballroom I (3rd Floor)","Monday, March 17","13. council for emerging and new statisticians (cens) invited session: should i do a postdoc?"
14,10,"14. adaptive randomized trial designs and improved analysis methods to learn which subpopulations benefit of public health from which treatments asa biopharmaceutical section school of public health","10:10","Grand Ballroom V (3rd Floor)","Monday, March 17","14. adaptive randomized trial designs and improved analysis methods to learn which subpopulations benefit from which treatments"
14,11,"impacts of predictive genomic classifier performance on subpopulation-specific treatment effects assessment ming-chung li, national cancer institute, national sue-jane wang*, u.s. food and drug administration institutes of health","8:30","Grand Ballroom V (3rd Floor)","Monday, March 17","14. adaptive randomized trial designs and improved analysis methods to learn which subpopulations benefit from which treatments"
14,12,"shine shadow: a bayesian adaptive trial vs. a group sequential trial in stroke jason t. connor* and kristine r. broglio, valerie l. durkalski, medical university of south carolina * = presenter | n = student award winner berry consultants 48 enar 2014 | spring meeting | march 16–19","8:55","Grand Ballroom V (3rd Floor)","Monday, March 17","14. adaptive randomized trial designs and improved analysis methods to learn which subpopulations benefit from which treatments"
14,13,"adaptive enrichment designs for clinical trials noah simon*, university of washington richard simon, national cancer institute, national institutes of health","9:20","Grand Ballroom V (3rd Floor)","Monday, March 17","14. adaptive randomized trial designs and improved analysis methods to learn which subpopulations benefit from which treatments"
14,14,"constructing confidence sets for the optimal regime sherri rose*, harvard university han liu, princeton university tuo zhao, johns hopkins university michael rosenblum, johns hopkins university","9:45","Grand Ballroom V (3rd Floor)","Monday, March 17","14. adaptive randomized trial designs and improved analysis methods to learn which subpopulations benefit from which treatments"
15,15,"15. statistical methods for complex structured biomedical object data data mining section md anderson cancer center md anderson cancer center","10:10","Grand Ballroom II (3rd Floor)","Monday, March 17","15. statistical methods for complex structured biomedical object data"
15,16,"object oriented data analysis: backwards pca j. s. marron*, university of north carolina, chapel hill","8:30","Grand Ballroom II (3rd Floor)","Monday, March 17","15. statistical methods for complex structured biomedical object data"
15,17,"additive and interaction models for nonparametric functional and object regression, with application to ophthalmological multi-level functional data on jeffrey s. morris* and veera baladandayuthapani, massimo fazio, university of alabama, birmingham spherical domains university of texas md anderson cancer center","8:55","Grand Ballroom II (3rd Floor)","Monday, March 17","15. statistical methods for complex structured biomedical object data"
15,18,"on synergy between statistical shape analysis (ssa) and functional data analysis (fda) anuj srivastava*, florida state university eric klassen, florida state university sebastian kurtek, the ohio state university jingyong su, texas tech university","9:20","Grand Ballroom II (3rd Floor)","Monday, March 17","15. statistical methods for complex structured biomedical object data"
15,19,"bayesian spatial functional models for high-dimensional genomics data veerabhadran baladandayuthapani*, lin zhang, md anderson cancer center jeffrey morris and keith baggerly, university of texas","9:45","Grand Ballroom II (3rd Floor)","Monday, March 17","15. statistical methods for complex structured biomedical object data"
16,20,"16. multivariate analysis in high dimensions","10:10","Grand Ballroom VI (3rd Floor)","Monday, March 17","16. multivariate analysis in high dimensions"
16,21,"laplacian shrinkage for estimation of inverse covariance matrices from heterogenous samples takumi saegusa and ali shojaie*, university of washington","8:30","Grand Ballroom VI (3rd Floor)","Monday, March 17","16. multivariate analysis in high dimensions"
16,22,"joint mean-covariance models for incomplete multivariate longitudinal data mohsen pourahmadi*, texas a&m university","8:55","Grand Ballroom VI (3rd Floor)","Monday, March 17","16. multivariate analysis in high dimensions"
16,23,"prediction in abundant high-dimensional linear regression dennis cook*, university of minnesota del litoral and facultad de ingenier´ıa qu´ımica adam j. rothman, university of minnesota liliana forzani, instituto de matem´atica aplicada conicet and unl","9:20","Grand Ballroom VI (3rd Floor)","Monday, March 17","16. multivariate analysis in high dimensions"
16,24,"properties of optimizations used in penalized gaussian likelihood inverse covariance matrix estimation liliana forzani, instituto de matem´atica aplicada del and unl adam j. rothman*, university of minnesota litoral and facultad de ingenier´ıa qu´mica conicet","9:45","Grand Ballroom VI (3rd Floor)","Monday, March 17","16. multivariate analysis in high dimensions"
17,25,"17. recent advances in lifetime data analysis college park","10:10","Grand Ballroom III (3rd Floor)","Monday, March 17","17. recent advances in lifetime data analysis"
17,26,"bayesian threshold regression for informatively censored current status data tao xiao, university of maryland, college park and michael l. pennell*, the ohio state university * = presenter | n = student award winner the ohio state university program 49","8:30","Grand Ballroom III (3rd Floor)","Monday, March 17","17. recent advances in lifetime data analysis"
